id,calories,proteins,fat,carbohydrate,name,image
357,179.0,27.6,7.63,0.0,Tuna olive oil,https://images.openfoodfacts.org/images/products/955/604/160/4505/front_fr.3.400.jpg
358,200.0,7.0,15.0,9.0,Skippy,No Image Available
359,405.0,1.0,17.0,63.0,Instant Noodles,https://images.openfoodfacts.org/images/products/528/500/039/6406/front_en.4.400.jpg
360,450.0,0.0,12.5,80.0,Kapal Api Grande Java Latte,https://images.openfoodfacts.org/images/products/899/100/211/5101/front_en.5.400.jpg
361,500.0,6.25,18.8,68.8,Oops,https://images.openfoodfacts.org/images/products/899/110/278/9318/front_en.9.400.jpg
362,90.0,1.0,2.0,12.0,White Koffie,https://images.openfoodfacts.org/images/products/899/417/110/1296/front_en.3.400.jpg
363,120.0,3.2,3.2,19.2,Mango Yogurts Greenfields,https://images.openfoodfacts.org/images/products/899/335/112/0201/front_en.6.400.jpg
364,535.0,5.9,30.0,57.5,Toblerone tiny chocolate pieces-assorted mixed,No Image Available
365,500.0,6.67,26.67,0.0,Chocolate Chip Cookie,https://images.openfoodfacts.org/images/products/074/992/104/0213/front_en.3.400.jpg
366,14.29,0.0,0.0,3.43,"LeVite Lychee, Citrus & Mint",https://images.openfoodfacts.org/images/products/899/275/212/2708/front_en.3.400.jpg
367,14.29,0.0,0.0,3.71,Vanilla Pandan Tea,https://images.openfoodfacts.org/images/products/899/275/215/2309/front_en.3.400.jpg
368,14.29,0.0,0.0,3.71,Roasted Rice Tea,https://images.openfoodfacts.org/images/products/899/275/215/2408/front_en.3.400.jpg
369,116.67,1.67,5.0,16.67,Multigrain Chips Honey BBQ,https://images.openfoodfacts.org/images/products/899/280/209/5020/front_en.3.400.jpg
370,112.0,3.0,3.0,20.0,Yogurt  Blueberry,https://images.openfoodfacts.org/images/products/899/335/112/0102/front_en.3.400.jpg
371,100.0,2.63,2.63,16.32,Strawberry Yogurt Drink,https://images.openfoodfacts.org/images/products/899/335/112/0416/front_en.3.400.jpg
